Supervised,alpha,beta,lambda,precisione
0.1,10.0,10000000.0,0.003906,0.4157235
0.1,100.0,100000000.0,0.007812,Nan
0.1,1.0,1000000.0,0.001953,Nan
0.2,10.0,10000000.0,0.003906,0.5018795
0.2,100.0,100000000.0,0.007812,Nan
0.2,1.0,1000000.0,0.001953,Nan
0.3,10.0,10000000.0,0.003906,0.5318685
0.3,100.0,100000000.0,0.007812,Nan
0.3,1.0,1000000.0,0.001953,Nan
0.4,0.001,10000.0,0.000244,0.529647
0.4,0.01,100000.0,0.000488,Nan
0.4,0.0001,1000.0,0.000122,Nan
0.5,10.0,10000000.0,0.015625,0.56114
0.5,100.0,100000000.0,0.03125,Nan
0.5,1.0,1000000.0,0.0078125,Nan
0.6,0.001,10000000.0,0.003906,0.5514515
0.6,0.01,100000000.0,0.007812,Nan
0.6,0.0001,1000000.0,0.001953,Nan
0.7,10.0,10000000.0,0.003906,0.5716334999999999
0.7,100.0,100000000.0,0.007812,Nan
0.7,1.0,1000000.0,0.001953,Nan
0.8,0.001,10000.0,0.000244,0.5646075
0.8,0.01,100000.0,0.000488,Nan
0.8,0.0001,1000.0,0.000122,Nan
0.9,0.001,10000000.0,0.015625,0.5399035
0.9,0.01,100000000.0,0.03125,Nan
0.9,0.0001,1000000.0,0.0078125,Nan
1.0,10.0,10000000.0,0.000244,0.5505305
1.0,100.0,100000000.0,0.000488,Nan
1.0,1.0,1000000.0,0.000122,Nan
Supervised,alpha,beta,lambda,precisione
0.1,10.0,10000000.0,0.003906,0.4157235
0.1,100.0,100000000.0,0.007812,Nan
0.1,1.0,1000000.0,0.001953,Nan
0.2,10.0,10000000.0,0.003906,0.5018795
0.2,100.0,100000000.0,0.007812,Nan
0.2,1.0,1000000.0,0.001953,Nan
0.3,10.0,10000000.0,0.003906,0.5318685
0.3,100.0,100000000.0,0.007812,Nan
0.3,1.0,1000000.0,0.001953,Nan
0.4,0.001,10000.0,0.000244,0.529647
0.4,0.01,100000.0,0.000488,Nan
0.4,0.0001,1000.0,0.000122,Nan
0.5,10.0,10000000.0,0.015625,0.56114
0.5,100.0,100000000.0,0.03125,Nan
0.5,1.0,1000000.0,0.0078125,Nan
0.6,0.001,10000000.0,0.003906,0.5514515
0.6,0.01,100000000.0,0.007812,Nan
0.6,0.0001,1000000.0,0.001953,Nan
0.7,10.0,10000000.0,0.003906,0.5716334999999999
0.7,100.0,100000000.0,0.007812,Nan
0.7,1.0,1000000.0,0.001953,Nan
0.8,0.001,10000.0,0.000244,0.5646075
0.8,0.01,100000.0,0.000488,Nan
0.8,0.0001,1000.0,0.000122,Nan
0.9,0.001,10000000.0,0.015625,0.5399035
0.9,0.01,100000000.0,0.03125,Nan
0.9,0.0001,1000000.0,0.0078125,Nan
1.0,10.0,10000000.0,0.000244,0.5505305
1.0,100.0,100000000.0,0.000488,Nan
1.0,1.0,1000000.0,0.000122,Nan
