level,algorithm,alpha,beta,lambda,p@100
0.1,SSB_VAE,0.001,1.0,0.000244,Nan
0.1,SSB_VAE,10,10000,0.015625,Nan
0.1,SSB_VAE,10000,10000000,0.003906,Nan
0.2,SSB_VAE,0.001,1.0,0.000244,Nan
0.2,SSB_VAE,10,10000,0.015625,Nan
0.2,SSB_VAE,10000,10000000,0.003906,Nan
0.3,SSB_VAE,0.001,1.0,0.000244,Nan
0.3,SSB_VAE,10,10000,0.015625,Nan
0.3,SSB_VAE,10000,10000000,0.003906,Nan
0.4,SSB_VAE,0.001,1.0,0.000244,Nan
0.4,SSB_VAE,10,10000,0.015625,Nan
0.4,SSB_VAE,10000,10000000,0.003906,Nan
0.5,SSB_VAE,0.001,1.0,0.000244,Nan
0.5,SSB_VAE,10,10000,0.015625,Nan
0.5,SSB_VAE,10000,10000000,0.003906,Nan
0.6,SSB_VAE,0.001,1.0,0.000244,Nan
0.6,SSB_VAE,10,10000,0.015625,Nan
0.6,SSB_VAE,10000,10000000,0.003906,Nan
0.7,SSB_VAE,0.001,1.0,0.000244,Nan
0.7,SSB_VAE,10,10000,0.015625,Nan
0.7,SSB_VAE,10000,10000000,0.003906,Nan
0.8,SSB_VAE,0.001,1.0,0.000244,Nan
0.8,SSB_VAE,10,10000,0.015625,Nan
0.8,SSB_VAE,10000,10000000,0.003906,Nan
0.9,SSB_VAE,0.001,1.0,0.000244,Nan
0.9,SSB_VAE,10,10000,0.015625,Nan
0.9,SSB_VAE,10000,10000000,0.003906,Nan
1.0,SSB_VAE,0.001,1.0,0.000244,Nan
1.0,SSB_VAE,10,10000,0.015625,Nan
1.0,SSB_VAE,10000,10000000,0.003906,Nan
